id,ranking,company_name,city,country,current_employees,last_employees,employee_growth,founded,total_funding,Industry,Points,valuation,Industry_Group,description
1045228,1,Anysphere,San Francisco,United States,1418,48,2854.17,2011.0,176000000.0,AI,3002,9900000000.0,Artificial Intelligence,"Anysphere is an applied research lab working on automating coding. Our approach is to build the engineer of the future: a human-AI programmer that's an order of magnitude more effective than any one programmer. This hybrid engineer will have effortless control over their codebase and no low-entropy keystrokes. They will iterate at the speed of their judgment, even in the most complex systems. Using a combination of AI and human ingenuity, they will out-smart and out-engineer the best pure-AI system. We are a group of researchers and engineers. We build software and models to invent at the edge of what's useful and what's possible. Our work has already improved the lives of millions of programmers. If this excites you, we'd love to hear from you. — Aman , Sualeh , Michael , Arvid , and the entire Anysphere team Careers Engineering Infrastructure Engineer San Francisco / New York Research Engineer San Francisco / New York Product Engineer San Francisco / New York Enterprise Product Engineer San Francisco / New York Go-to-Market Account Executive San Francisco / New York Technical Account Manager San Francisco / New York Field Engineer San Francisco / New York
In short, this company was founded in 2011 in United States. It has grown by 2854% and currently has 1418 employees. This company has raised $176,000,000 so far. It also focuses on the Artificial Intelligence industry, specializing in AI."
966653,2,ElevenLabs,New York,United States,333,115,181.32,2022.0,353000000.0,AI,2721,3300000000.0,Artificial Intelligence,"Create the most realistic speech with our AI audio tools in 1000s of voices and 70+ languages. Easy to use API's and SDK's. Scalable, secure, and customizable voice solutions tailored for enterprise needs. Pioneering research in Text to Speech and AI Voice Generation.
In short, this company was founded in 2022 in United States. It has grown by 181% and currently has 333 employees. This company has raised $353,000,000 so far. It also focuses on the Artificial Intelligence industry, specializing in AI."
977455,3,Mistral AI,Paris,France,360,119,204.44,2023.0,1190000000.0,AI,2545,6000000000.0,Artificial Intelligence,"Your multilingual, multimodal AI assistant that can help with anything. Search, create, code, learn, automate and collaborate with a unified and secure experience.
In short, this company was founded in 2023 in France. It has grown by 204% and currently has 360 employees. This company has raised $1,190,000,000 so far. It also focuses on the Artificial Intelligence industry, specializing in AI."
976147,4,Figure,Sunnyvale,United States,370,174,112.82,2022.0,845000000.0,AI,2384,2600000000.0,Artificial Intelligence,"Figure is the first-of-its-kind AI robotics company bringing a general purpose humanoid to life.Figure is poised to solve labor shortages. Up and running for our first commercial customers, it’s learning and performing end-to-end operations safely. Now, in the biggest innovation since the dishwasher, Figure is finally coming home. Expect Figure to do dishes and laundry, unpack groceries, and perform other household tasks 100% autonomously.
In short, this company was founded in 2022 in United States. It has grown by 112% and currently has 370 employees. This company has raised $845,000,000 so far. It also focuses on the Artificial Intelligence industry, specializing in AI."
376099,5,Abridge,Pittsburgh,United States,326,120,171.67,2018.0,464000000.0,AI,2366,5300000000.0,Artificial Intelligence,"Enterprise-grade AI for clinical conversationsâtrusted by the largest healthcare systems. Measurably improving outcomes for clinicians, nurses, and revenue cycle teams at scale.
In short, this company was founded in 2018 in United States. It has grown by 171% and currently has 326 employees. This company has raised $464,000,000 so far. It also focuses on the Artificial Intelligence industry, specializing in AI."
174917,6,Lightmatter,Boston,United States,257,184,39.87,2017.0,422000000.0,Hardware,2332,4400000000.0,Hardware,"Rethinking the limits of AI, Lightmatter merges photonics and computing to build a future where speed, efficiency, and intelligence converge.
In short, this company was founded in 2017 in United States. It has grown by 39% and currently has 257 employees. This company has raised $422,000,000 so far. It also focuses on the Hardware industry, specializing in Hardware."
9967,7,Shield AI,San Diego,United States,147,114,28.51,2015.0,1310000000.0,AI,2328,5300000000.0,Artificial Intelligence,"Our mission is to protect service members and civilians with intelligent systems.
In short, this company was founded in 2015 in United States. It has grown by 28% and currently has 147 employees. This company has raised $1,310,000,000 so far. It also focuses on the Artificial Intelligence industry, specializing in AI."
990745,8,Mercor,San Francisco,United States,555,107,421.79,2023.0,135000000.0,AI,2292,250000000.0,Artificial Intelligence,"Mercor is a better way to find opportunities. We're an AI-powered platform that sources, vets, and pays your next team members.
In short, this company was founded in 2023 in United States. It has grown by 421% and currently has 555 employees. This company has raised $135,000,000 so far. It also focuses on the Artificial Intelligence industry, specializing in AI."
981798,9,Saronic Technologies,Austin,United States,342,114,234.15,2022.0,845000000.0,AI,2231,4000000000.0,Artificial Intelligence,"Providing naval and maritime forces with the most intelligent Autonomous Surface Vessels available. Capabilities Specifications
In short, this company was founded in 2022 in United States. It has grown by 234% and currently has 342 employees. This company has raised $845,000,000 so far. It also focuses on the Artificial Intelligence industry, specializing in AI."
977489,10,Together AI,San Francisco,United States,217,82,166.67,2022.0,537000000.0,AI,2228,3300000000.0,Artificial Intelligence,"Run and fine-tune generative AI models with simple APIs and scalable GPU clusters. Train & deploy at scale on The AI Acceleration Cloud.
In short, this company was founded in 2022 in United States. It has grown by 166% and currently has 217 employees. This company has raised $537,000,000 so far. It also focuses on the Artificial Intelligence industry, specializing in AI."
896978,11,SandboxAQ,Silicon valley,United States,331,287,15.35,2021.0,950000000.0,AI,2213,5600000000.0,Artificial Intelligence,"SandboxAQ leverages the compound effects of AI and advanced computing to address some of the biggest challenges impacting society. SandboxAQ technologies include AI simulation, cryptography management for cybersecurity, and AI sensing for global organizations.
In short, this company was founded in 2021 in United States. It has grown by 15% and currently has 331 employees. This company has raised $950,000,000 so far. It also focuses on the Artificial Intelligence industry, specializing in AI."
379118,12,Celestial AI,Santa Clara,United States,146,113,29.13,2020.0,589000000.0,AI,2205,2500000000.0,Artificial Intelligence,"We develop audacious AI computing platforms that elevate performance, energy and economic efficiencies, enabling our customers to rapidly deploy innovations in their AI applications.
In short, this company was founded in 2020 in United States. It has grown by 29% and currently has 146 employees. This company has raised $589,000,000 so far. It also focuses on the Artificial Intelligence industry, specializing in AI."
1014616,13,Sierra,San Francisco,United States,253,49,420.0,2011.0,285000000.0,AI,2201,4500000000.0,Artificial Intelligence,"Sierra helps businesses build better, more human customer experiences with AI.
In short, this company was founded in 2011 in United States. It has grown by 420% and currently has 253 employees. This company has raised $285,000,000 so far. It also focuses on the Artificial Intelligence industry, specializing in AI."
1045225,14,Story,San Francisco,United States,119,70,69.23,2011.0,193000000.0,AI,2140,2250000000.0,Artificial Intelligence,"Story is the infrastructure layer that makes IP and real-world data programmable, enforceable, and monetizable. Story tokenizes IP and makes it programmable, from ownership to remix to monetization. Start Building Explore
In short, this company was founded in 2011 in United States. It has grown by 69% and currently has 119 employees. This company has raised $193,000,000 so far. It also focuses on the Artificial Intelligence industry, specializing in AI."
471268,15,Chainguard,Kirkland,United States,549,185,197.14,2021.0,612000000.0,AI,2138,3500000000.0,Artificial Intelligence,"1,500+ trusted container images to eliminate your vulnerabilities and mitigate malware Talk to an expert Get started for free
In short, this company was founded in 2021 in United States. It has grown by 197% and currently has 549 employees. This company has raised $612,000,000 so far. It also focuses on the Artificial Intelligence industry, specializing in AI."
371007,16,Peregrine,San Francisco,United States,259,141,83.9,2018.0,253000000.0,Analytics,2136,2500000000.0,Data,"Effective, efficient and easy to use, Peregrine is the real-time public safety and police data management platform that delivers true interoperability.
In short, this company was founded in 2018 in United States. It has grown by 83% and currently has 259 employees. This company has raised $253,000,000 so far. It also focuses on the Data industry, specializing in Analytics."
385878,17,KoBold Metals,Berkeley,United States,290,227,28.07,2018.0,941000000.0,Mining,2117,2960000000.0,Resource,"What we do KoBold invests over $100 million annually across our 70+ projects on 5 continents. KoBold also leads the world’s largest exploration R&D effort to advance the frontier of exploration technology with AI and novel hardware.
In short, this company was founded in 2018 in United States. It has grown by 28% and currently has 290 employees. This company has raised $941,000,000 so far. It also focuses on the Resource industry, specializing in Mining."
